year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2012,BMW,3 Series,328i,Convertible,,wbadw3c58ce822722,pa,34.0,34235.0,red,tan,bmw of alexandria,26700.0,25500.0,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
2013,Porsche,911,Carrera,coupe,automatic,wp0aa2a98ds107415,fl,44.0,8391.0,black,beige,porsche financial services,67000.0,66000.0,Tue Jun 02 2015 05:00:00 GMT-0700 (PDT)
2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha1cr351425,fl,28.0,60283.0,silver,black,dtg operations inc,9875.0,9700.0,Tue May 26 2015 02:15:00 GMT-0700 (PDT)
2014,Nissan,Altima,2.5 S,Sedan,,1n4al3ap3ec190350,md,43.0,38993.0,gray,black,all car leasing inc,12850.0,13200.0,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2012,BMW,6 Series,650i,Coupe,automatic,wbalx3c57cdv77460,fl,37.0,24503.0,black,beige,braman motorcars,44400.0,44500.0,Thu Dec 18 2014 09:35:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar8dm754666,tn,19.0,18268.0,black,black,nissan infiniti lt,22400.0,19600.0,Tue Feb 10 2015 02:30:00 GMT-0800 (PST)
2011,Ford,E-Series Van,E-150,e-series van,,1ftne1ew2bda89348,va,45.0,101718.0,white,gray,florida auto connection,11150.0,11900.0,Thu Jun 11 2015 02:20:00 GMT-0700 (PDT)
2002,Lexus,LS 430,Base,Sedan,automatic,jthbn30f820073330,fl,35.0,133267.0,black,tan,lexus of tampa bay,7025.0,6000.0,Tue Jan 27 2015 08:00:00 GMT-0800 (PST)
2014,GMC,Savana Cargo,2500,Van,automatic,1gtw7fca1e1904437,fl,49.0,7934.0,white,gray,u-haul,21300.0,22000.0,Thu Mar 05 2015 01:35:00 GMT-0800 (PST)
2003,Hyundai,Santa Fe,GLS,suv,automatic,km8sc13d63u522838,fl,36.0,170526.0,red,gray,brandon mitsubishi,1175.0,1400.0,Thu Jun 18 2015 09:00:00 GMT-0700 (PDT)
2014,Ford,Fusion,SE,sedan,automatic,3fa6p0h77er345093,tn,36.0,34867.0,—,black,avis budget group,13100.0,13300.0,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
2013,Ford,E-Series Van,E-250,E-Series Van,automatic,1ftne2ewxdda54615,ga,31.0,10029.0,white,gray,u-haul,20000.0,19500.0,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2003,Honda,Accord,LX,Sedan,automatic,3hgcm563x3g712761,nc,19.0,126843.0,silver,gray,atlantic coast remarketing inc/kdi,4050.0,4400.0,Mon Jan 19 2015 01:30:00 GMT-0800 (PST)
2012,Chevrolet,Express Cargo,1500,Van,automatic,1gcsgafx4c1152277,mn,34.0,48779.0,white,gray,manheim northstar minnesota,11200.0,13600.0,Thu Jan 15 2015 02:45:00 GMT-0800 (PST)
2002,Nissan,Maxima,GLE,sedan,automatic,jn1da31a82t304995,ma,19.0,196908.0,gray,gray,boch new to you superstore,1650.0,1100.0,Thu Jun 04 2015 11:30:00 GMT-0700 (PDT)
2010,Cadillac,Escalade,Luxury,SUV,,1gyukbef3ar281996,pa,43.0,77300.0,white,black,alans autos,27600.0,29500.0,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
2011,Nissan,Sentra,2.0 S,Sedan,automatic,3n1ab6apxbl610574,ca,22.0,92303.0,gray,gray,santander consumer,5450.0,5200.0,Thu Feb 19 2015 04:00:00 GMT-0800 (PST)
2012,Ford,Escape,XLT,SUV,automatic,1fmcu0d79ckb87879,fl,37.0,40259.0,black,beige,ford motor credit company llc,13750.0,13200.0,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
2012,Acura,TSX,Special Edition,Sedan,automatic,jh4cu2f88cc011016,il,2.0,28291.0,black,black,ahfc/honda lease/trust/hvt  inc. eot acuras,17950.0,15900.0,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2014,Kia,Optima,LX,Sedan,automatic,5xxgm4a75eg280834,mo,4.0,35382.0,gray,gray,c & j rental,13900.0,13600.0,Tue Jan 20 2015 03:00:00 GMT-0800 (PST)
2011,Ford,F-150,Lariat,SuperCrew,,1ftfw1et4bfc08366,mi,48.0,54737.0,silver,black,larry hudson chevrolet buick gmc inc,27500.0,25500.0,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
2014,Ford,Expedition,Limited,SUV,automatic,1fmju2a51eef30207,il,47.0,34433.0,silver,black,enterprise/ars,32900.0,34800.0,Tue Feb 10 2015 03:00:00 GMT-0800 (PST)
2007,Chevrolet,TrailBlazer,LS,SUV,automatic,1gnds13s072212725,ga,19.0,156770.0,gold,beige,santander consumer,2450.0,2800.0,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,Sedan,,1n4al3ap4dn424272,tn,24.0,57206.0,white,black,the hertz corporation,11900.0,11600.0,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2013,Toyota,Corolla,LE,sedan,automatic,2t1bu4ee6dc961853,nj,34.0,14012.0,gray,gray,toyota financial services,12050.0,12900.0,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
2012,Nissan,Rogue,S,SUV,automatic,jn8as5mv3cw711327,il,43.0,35450.0,gray,black,nissan-infiniti lt,14400.0,16000.0,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2006,Mercedes-Benz,M-Class,ML350,SUV,automatic,4jgbb86e56a127040,ca,3.0,107680.0,black,black,high bid trading co inc,8875.0,8250.0,Wed May 20 2015 05:15:00 GMT-0700 (PDT)
2012,Ford,Taurus,SHO,sedan,automatic,1fahp2kt5cg132111,ga,35.0,34042.0,white,gray,ford motor credit company llc pd,21900.0,21700.0,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
2008,GMC,Sierra 1500,Work Truck,Regular Cab,automatic,1gtec14x08z264093,va,35.0,88987.0,silver,gray,mcmb financial,7900.0,9100.0,Thu Jan 15 2015 01:20:00 GMT-0800 (PST)
2011,Chevrolet,Malibu,LT1,Sedan,automatic,1g1zc5e18bf381148,fl,27.0,81774.0,brown,beige,chrysler capital,7875.0,7500.0,Wed Jan 28 2015 01:05:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap0cn510350,ca,27.0,98380.0,white,black,nissan motor acceptance corporation,9525.0,8250.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2007,Chevrolet,TrailBlazer,LS,SUV,automatic,1gndt13s972182069,co,24.0,133053.0,black,gray,pra recievables management llc,4225.0,3200.0,Tue Feb 10 2015 04:00:00 GMT-0800 (PST)
2011,Chevrolet,Equinox,LT1,SUV,automatic,2cnaldec5b6307319,nc,35.0,100329.0,silver,black,ge fleet services for itself/servicer,9750.0,9600.0,Tue Jan 27 2015 01:15:00 GMT-0800 (PST)
2013,Chevrolet,Malibu,Eco,Sedan,automatic,1g11f5rrxdf104718,nv,36.0,40035.0,white,tan,gm financial,13300.0,13500.0,Fri Feb 13 2015 04:00:00 GMT-0800 (PST)
2013,Toyota,Yaris,L,hatchback,automatic,jtdktud37dd548698,nv,36.0,50887.0,turquoise,gray,bill pearce courtesy honda,8925.0,9100.0,Fri Jun 12 2015 04:45:00 GMT-0700 (PDT)
1994,,,,,automatic,1j4gz78y5rc324252,nc,3.0,208596.0,green,gray,crossroads nissan of hickory inc,675.0,900.0,Mon Mar 09 2015 01:31:00 GMT-0700 (PDT)
2006,Pontiac,G6,Base,Sedan,automatic,1g2zg578364113457,mi,27.0,73261.0,gold,gray,advia credit union,4450.0,4800.0,Thu Jan 29 2015 01:30:00 GMT-0800 (PST)
2014,Chrysler,Town and Country,Limited,Minivan,,2c4rc1gg8er131164,on,44.0,15973.0,black,black,chrysler canada inc,31900.0,31200.0,Tue Jan 13 2015 12:00:00 GMT-0800 (PST)
2013,Ford,Fusion,SE,sedan,automatic,3fa6p0h72dr387895,mo,4.0,15911.0,gray,black,ford motor credit company llc,14550.0,15100.0,Wed Jun 10 2015 03:00:00 GMT-0700 (PDT)
2009,Infiniti,G37,x,Sedan,automatic,jnkcv61f49m352409,nc,34.0,114654.0,gray,gray,north state acceptance,10250.0,9700.0,Mon Feb 09 2015 01:30:00 GMT-0800 (PST)
2008,Chevrolet,Malibu,LT,Sedan,automatic,1g1zh57b38f294287,nj,29.0,82470.0,white,gray,santander consumer,6850.0,6000.0,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
2003,,,,,automatic,jf1sg65603h702206,ny,19.0,64567.0,gold,tan,manheim albany,4775.0,3500.0,Thu Feb 12 2015 01:15:00 GMT-0800 (PST)
2014,Ford,Explorer,Limited,SUV,automatic,1fm5k7f81egb11835,tn,44.0,33791.0,—,black,ars/avis budget group,28000.0,28300.0,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2007,Toyota,Camry,SE V6,Sedan,automatic,4t1bk46k07u531765,sc,26.0,107105.0,blue,gray,dab auto world & leasing,8425.0,8800.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2013,Cadillac,Escalade ESV,Luxury,SUV,automatic,1gys4hef2dr277544,la,35.0,60465.0,white,black,the hertz corporation,37400.0,36200.0,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
2012,BMW,7 Series,740i,Sedan,automatic,wbaka4c53cds99045,ca,43.0,23487.0,white,black,financial services remarketing (lease),38300.0,37400.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Ford,Fusion,S,sedan,automatic,3fahp0ga5cr275290,tx,44.0,69896.0,white,gray,lease plan usa,8800.0,9500.0,Tue Jun 09 2015 03:30:00 GMT-0700 (PDT)
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae2dh283960,wa,41.0,29787.0,gray,gray,hyundai motor finance,10850.0,11300.0,Wed Jun 10 2015 05:30:00 GMT-0700 (PDT)
2013,GMC,Yukon XL,SLT 1500,SUV,automatic,1gks1ke01dr128246,sc,47.0,30140.0,white,black,king cadillac buick gmc inc,28100.0,27500.0,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
2005,Mazda,Mazda6,i Sport,hatchback,automatic,1yvhp84c555m26241,ca,19.0,151161.0,black,beige,david wilsons ford of orange,2475.0,2300.0,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
2014,Jeep,Wrangler,Unlimited Sport,SUV,automatic,1c4bjwdg5el174782,fl,5.0,10831.0,red,black,tdaf remarketing,27600.0,27200.0,Tue Jan 20 2015 01:00:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,sedan,automatic,1n4al3apxdc293196,ga,5.0,30590.0,white,beige,nissan motor acceptance corporation,12550.0,14400.0,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
2003,Honda,Odyssey,EX,Minivan,automatic,5fnrl18683b072583,ca,19.0,125041.0,silver,gray,premium auto wholesale,2375.0,3700.0,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
2009,Mitsubishi,Galant,ES,sedan,automatic,4a3ab36f89e013426,tx,21.0,166769.0,silver,black,regional acceptance corporation / greensboro,2175.0,3100.0,Tue Jun 16 2015 03:30:00 GMT-0700 (PDT)
2006,Infiniti,G35,x,Sedan,automatic,jnkcv51f26m608956,nj,27.0,103770.0,black,black,wells fargo dealer services,5375.0,6800.0,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
2012,Acura,MDX,Base,suv,automatic,2hnyd2h25ch523128,tx,46.0,34852.0,gray,gray,music city autoplex llc,25800.0,26750.0,Wed Jun 17 2015 03:20:00 GMT-0700 (PDT)
2002,Honda,Odyssey,EX,Minivan,automatic,2hkrl18672h559385,nc,,194085.0,gray,gray,crown acura,1400.0,1450.0,Thu Dec 18 2014 14:30:00 GMT-0800 (PST)
2012,Lincoln,MKZ,Base,sedan,automatic,3lnhl2gcxcr817255,oh,44.0,20914.0,white,beige,ford motor credit company llc,15700.0,17500.0,Tue Jun 02 2015 02:00:00 GMT-0700 (PDT)
1997,Cadillac,Eldorado,Base,Coupe,automatic,1g6el12y1vu600079,ca,44.0,68144.0,white,tan,millennium cars,1275.0,5500.0,Wed Jan 21 2015 04:15:00 GMT-0800 (PST)
2007,Lincoln,Navigator L,Luxury,SUV,,5lmfl27507lj13267,va,,88243.0,off-white,—,sheehy ford of springfield inc,12250.0,11000.0,Thu Dec 18 2014 09:20:00 GMT-0800 (PST)
2013,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae2du551420,fl,37.0,25053.0,white,beige,merchants leasing,10000.0,9700.0,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2011,Chevrolet,Silverado 1500,LTZ,Crew Cab,automatic,3gcpkte39bg224668,nc,42.0,45977.0,white,beige,medlin hyundai,27900.0,29000.0,Mon Jan 05 2015 01:00:00 GMT-0800 (PST)
2006,Lincoln,Navigator,Luxury,SUV,automatic,5lmfu28566lj00372,fl,,105780.0,black,beige,autobuy,8150.0,8400.0,Thu Dec 18 2014 09:10:00 GMT-0800 (PST)
2013,Kia,Rio,LX,Hatchback,,knadm5a3xd6109075,pa,33.0,54400.0,white,black,dtg operations inc,8775.0,8100.0,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
2013,Chevrolet,Impala,LTZ,Sedan,automatic,2g1wc5e33d1209723,ne,34.0,39514.0,red,black,enterprise vehicle exchange/davenport,13100.0,13500.0,Thu Feb 26 2015 02:30:00 GMT-0800 (PST)
2008,Chevrolet,Cobalt,LT,Sedan,automatic,1g1al55f387216572,mi,19.0,110631.0,red,gray,advia credit union,3675.0,2900.0,Thu Jan 29 2015 01:30:00 GMT-0800 (PST)
2010,Cadillac,DTS,Luxury,Sedan,automatic,1g6kd5ey6au109374,pa,27.0,64063.0,red,beige,lindsay lexus of alexandria,13400.0,10900.0,Fri Jan 16 2015 01:30:00 GMT-0800 (PST)
2014,Porsche,Cayenne,GTS,suv,automatic,wp1ad2a2xela75698,ca,44.0,10222.0,silver,black,mercedes benz of south bay,79000.0,79000.0,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
2008,Jeep,Wrangler,Unlimited Sahara,SUV,automatic,1j4gb59128l526815,tn,41.0,72520.0,black,gray,fifth third bank,18150.0,18400.0,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
2013,Ford,Focus,SE,Sedan,automatic,1fadp3f28dl306915,mo,45.0,14697.0,red,black,ford motor credit company llc,11650.0,12100.0,Tue Feb 03 2015 03:00:00 GMT-0800 (PST)
2013,Chevrolet,Malibu,LT,sedan,automatic,1g11e5sa2df271744,az,34.0,52189.0,gray,black,the hertz corporation,11600.0,11800.0,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
2008,Pontiac,Grand Prix,Base,Sedan,automatic,2g2wp552981118792,nv,29.0,94762.0,gray,black,cag acceptance,4850.0,4900.0,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
2013,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb2d7279491,ca,49.0,23319.0,black,black,california republic bank,11950.0,12900.0,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
2010,Dodge,Journey,SXT,SUV,automatic,3d4pg5fv3at149908,ga,37.0,103997.0,gray,black,remarketing by ge/flagship credit acceptance,7250.0,8300.0,Tue Feb 03 2015 05:10:00 GMT-0800 (PST)
2007,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j8hr48p37c692631,nj,28.0,141126.0,black,black,royalton auto enterprises inc,5925.0,4000.0,Wed Apr 29 2015 02:30:00 GMT-0700 (PDT)
2008,Mazda,Mazdaspeed Mazda3,Sport,Hatchback,manual,jm1bk34l181866515,oh,3.0,89666.0,black,black,toyota financial services,7550.0,9100.0,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2013,Chrysler,200,Touring,sedan,automatic,1c3ccbbb2dn585062,ga,34.0,73814.0,white,black,santander consumer,8500.0,9000.0,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
2007,Chevrolet,Silverado 1500 Classic,LS,Extended Cab,automatic,1gcec19x47z103186,tx,44.0,116300.0,blue,gray,lawler motor sports inc,7275.0,11000.0,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
2007,Chevrolet,Equinox,LT,SUV,automatic,2cndl73f176102972,ca,29.0,78537.0,gray,gray,symbolic motor cars,7050.0,7600.0,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
2003,Mazda,Protege,LX,Sedan,automatic,jm1bj226331140349,il,19.0,90362.0,gray,gray,gateway financial services,1950.0,1200.0,Thu Feb 12 2015 06:00:00 GMT-0800 (PST)
1990,Toyota,Camry,Deluxe,Sedan,,4t1sv21e5lu272844,fl,2.0,265498.0,blue,gray,coggin deland ford,525.0,325.0,Tue Mar 03 2015 10:00:00 GMT-0800 (PST)
2014,Dodge,Grand Caravan,SXT,Minivan,,2c4rdgcg7er154327,nv,,42102.0,silver,—,enterprise vehicle exchange / tra / rental / tulsa,15400.0,13500.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2009,Ford,Escape,Limited,SUV,,1fmcu94g39kc13471,qc,49.0,77595.0,white,black,goldstar motors,12350.0,12900.0,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
2013,Hyundai,Accent,GLS,Sedan,,kmhcu4ae3du278176,pa,35.0,23302.0,black,tan,hyundai motor finance,10100.0,10000.0,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
2010,Volkswagen,Jetta,Limited Edition PZEV,Sedan,automatic,3vwjz7aj9am004425,md,27.0,89256.0,gray,black,darcars imports inc,5600.0,4500.0,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2011,Honda,Accord,EX,Sedan,automatic,1hgcp2f75ba030425,ga,19.0,70176.0,black,black,ahfc/honda lease trust/hvt  inc.,11000.0,10700.0,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,,1fbne3bl5eda14657,ca,39.0,22358.0,white,gray,ford motor credit company,21400.0,19500.0,Thu May 28 2015 05:30:00 GMT-0700 (PDT)
2006,BMW,3 Series,325i,Sedan,automatic,wbavb13546kr59716,nc,43.0,156276.0,white,gray,hendrick bmw northlake,4875.0,5600.0,Wed Jan 07 2015 14:30:00 GMT-0800 (PST)
2013,Nissan,Versa,1.6 S Plus,sedan,automatic,3n1cn7apxdl876301,ca,31.0,20743.0,blue,black,nissan motor acceptance corporation,8950.0,8900.0,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
2010,Volkswagen,Jetta,Limited Edition PZEV,Sedan,automatic,3vwrz7aj0am121880,va,25.0,54486.0,blue,black,primeritus remarketing/koons automotive i,8175.0,3200.0,Thu Jan 22 2015 01:20:00 GMT-0800 (PST)
2006,Honda,Accord,EX,Sedan,automatic,1hgcm56746a138129,pa,24.0,189844.0,silver,black,pohanka lexus,4200.0,4700.0,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
2014,Ford,Flex,SEL,Wagon,automatic,2fmhk6c85ebd27206,tx,37.0,33596.0,gray,beige,avis budget group,24200.0,23500.0,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
2007,GMC,Yukon XL,Denali,SUV,automatic,1gkfk66877j302107,nc,4.0,119973.0,silver,gray,rippy cadillac llc,14100.0,14900.0,Mon Jan 26 2015 01:30:00 GMT-0800 (PST)
2012,Hyundai,Sonata,GLS,Sedan,,5npeb4ac7ch433239,pa,43.0,42160.0,silver,gray,hyundai motor finance,11250.0,11200.0,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
2006,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38686b408801,ma,19.0,166642.0,gray,gray,boch new to you superstore,5050.0,3900.0,Thu May 21 2015 11:30:00 GMT-0700 (PDT)
2008,Jeep,Patriot,Limited,SUV,automatic,1j8ff48w58d562112,wa,46.0,94101.0,—,gray,puyallup nissan,7725.0,8400.0,Tue Dec 23 2014 15:20:00 GMT-0800 (PST)
2012,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cp8ck299641,tx,42.0,63720.0,black,black,the hertz corporation,7150.0,7800.0,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
2011,Kia,Sorento,Base,SUV,automatic,5xykt3a1xbg135041,fl,35.0,69078.0,black,gray,santander consumer,10600.0,11500.0,Thu Feb 05 2015 01:35:00 GMT-0800 (PST)
2013,Ford,Edge,Limited,suv,automatic,2fmdk3kc9dba36080,tx,42.0,41081.0,red,gray,ford motor credit company llc,20800.0,22500.0,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
2011,BMW,X5,xDrive35d,SUV,automatic,5uxzw0c59bl661037,wi,43.0,66447.0,gray,beige,financial services remarketing (lease),26800.0,26000.0,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
2012,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl5h63cb041880,nj,29.0,25622.0,gray,gray,ahfc/honda lease trust/hvt  inc. eot,23500.0,21600.0,Wed Jan 28 2015 01:30:00 GMT-0800 (PST)
2013,Ford,Expedition,EL Limited,SUV,automatic,1fmjk2a52def15171,oh,42.0,39592.0,white,black,ford motor credit company llc,34300.0,34700.0,Tue Mar 10 2015 02:00:00 GMT-0700 (PDT)
2009,Lexus,IS 250,Base,Sedan,automatic,jthbk262395098253,fl,33.0,70794.0,white,beige,onesource/kendall toyota,15400.0,14250.0,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2014,Ford,Fusion,SE,sedan,automatic,3fa6p0h7xer277842,mo,35.0,32688.0,red,beige,lease plan usa,13100.0,13000.0,Wed Jun 10 2015 03:30:00 GMT-0700 (PDT)
2001,Buick,Park Avenue,Ultra,Sedan,automatic,1g4cu541214141742,nc,19.0,160350.0,silver,gray,ams financial group/auto king inc/sensible car r,1500.0,650.0,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2014,Ram,1500,SLT,Crew Cab,,1c6rr7tt4es370415,pa,44.0,14948.0,white,gray,tdaf remarketing,27300.0,24400.0,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
1999,Toyota,RAV4,Base,SUV,automatic,jt3hp10v6x7124909,nc,28.0,161137.0,black,black,fleet lease remarketing,2175.0,3800.0,Tue Mar 03 2015 01:15:00 GMT-0800 (PST)
2003,Hyundai,Elantra,GT,Hatchback,automatic,kmhdn55d73u090736,fl,19.0,129047.0,black,black,autonation chevrolet greenacres,1525.0,1100.0,Tue Mar 03 2015 10:00:00 GMT-0800 (PST)
2011,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1ug9b1440938,tn,35.0,40366.0,blue,black,jpmorgan chase bank n.a.,9100.0,8900.0,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2011,Kia,Sorento,LX,suv,automatic,5xykt4a25bg136368,ga,44.0,73063.0,blue,black,akins ford dodge jeep chrysler ram,11250.0,11300.0,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
2014,Ford,Fiesta,SE,Sedan,automatic,3fadp4bj9em201867,ga,44.0,9047.0,black,black,ford motor credit company llc,10850.0,10600.0,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2007,Toyota,Highlander,Base,SUV,automatic,jtedp21a270134305,tx,29.0,174779.0,black,gray,remarketing by ge/ak&y enterprises inc,5550.0,5500.0,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2006,Chevrolet,Silverado 1500,LS,Extended Cab,automatic,1gcec19x36z267835,tn,2.0,132683.0,black,black,westlake financial services,6225.0,7300.0,Tue Feb 03 2015 02:30:00 GMT-0800 (PST)
2009,Dodge,Charger,SXT,Sedan,automatic,2b3ka33v19h584496,il,32.0,1.0,gold,black,wells fargo dealer services,11050.0,3500.0,Thu May 14 2015 03:00:00 GMT-0700 (PDT)
2014,Chevrolet,Camaro,LS,Coupe,automatic,2g1fa1e35e9258777,tx,43.0,2980.0,white,black,tdaf remarketing,19000.0,19900.0,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
2009,Chrysler,Sebring,LX,Sedan,automatic,1c3lc46b09n536939,ca,19.0,71042.0,white,gray,us bank,5425.0,4000.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Hyundai,Elantra,GLS,Sedan,,5npdh4ae4ch113579,qc,3.0,52889.0,blue,gray,repo depo,8075.0,6800.0,Tue May 19 2015 03:00:00 GMT-0700 (PDT)
2005,Chevrolet,TrailBlazer EXT,LS,SUV,automatic,1gnes16s556160742,nv,2.0,132324.0,gray,—,tiger financial management llc,3200.0,2600.0,Wed Dec 31 2014 11:00:00 GMT-0800 (PST)
2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha0cr425403,nj,34.0,46332.0,silver,gray,ford motor credit company llc,10800.0,9500.0,Wed Feb 11 2015 01:00:00 GMT-0800 (PST)
2012,Ford,F-150,FX4,SuperCrew,automatic,1ftfw1et0ckd01636,ny,44.0,21750.0,blue,black,ford motor credit company llc,31900.0,30000.0,Mon Dec 22 2014 14:00:00 GMT-0800 (PST)
2013,Kia,Soul,Base,Wagon,manual,kndjt2a59d7494521,ny,47.0,46783.0,beige,black,adk auto brokers inc,9725.0,9200.0,Thu Mar 05 2015 01:45:00 GMT-0800 (PST)
2012,Ford,Focus,SE,Sedan,automatic,1fahp3f26cl152494,pa,41.0,30938.0,red,gray,ford motor credit company llc,9950.0,10500.0,Wed Jan 07 2015 09:00:00 GMT-0800 (PST)
2010,Mercedes-Benz,C-Class,C300 Sport,Sedan,automatic,wddgf5eb2af438334,ca,29.0,70073.0,black,beige,mercedes-benz finc wholesale advantage,14200.0,13750.0,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb1cr239542,ca,34.0,32623.0,white,black,mercedes-benz financial services,21000.0,23750.0,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2012,Land Rover,Range Rover Evoque,Pure,SUV,,salvr2bg8ch627495,pa,41.0,11739.0,black,tan,hann financial services,37300.0,35800.0,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7ap3el866856,il,5.0,10005.0,white,black,nissan motor acceptance corporation,9775.0,8700.0,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
2012,Honda,Ridgeline,RTL,Crew Cab,automatic,5fpyk1f56cb003679,in,41.0,76410.0,gray,gray,honda r&d americas  inc,24000.0,22250.0,Thu Jan 22 2015 02:10:00 GMT-0800 (PST)
2009,Mercedes-Benz,E-Class,E350 4MATIC,Sedan,,wdbuf87x79b415690,pa,22.0,64960.0,white,beige,autolenders liquidation center,15750.0,15300.0,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk0cu176500,ga,43.0,33873.0,black,black,akins ford dodge jeep chrysler ram,14750.0,15400.0,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2009,Dodge,Charger,Base,Sedan,automatic,2b3ka43d89h555106,ga,26.0,73671.0,blue,gray,young motors llc,8350.0,10700.0,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
2012,Nissan,370Z,Base,convertible,automatic,jn1az4fh8cm370661,fl,42.0,7000.0,gray,gray,universal nissan,23700.0,26700.0,Tue Jun 16 2015 02:15:00 GMT-0700 (PDT)
2012,Nissan,Altima,2.5 S,Sedan,,1n4al2ap8cc157416,pa,42.0,28141.0,black,black,nissan-infiniti lt,12500.0,14400.0,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
2013,Ford,Escape,SE,suv,automatic,1fmcu9gx7dud25103,mo,41.0,37633.0,white,gray,automotive solutions llc,15950.0,16000.0,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
